run_id,mode,algorithm,backend,threads,base_n,query_n,k,nlist,nprobe,p,recall,latency_us,speedup,build_ms,notes
20260525_201133,official,hnsw,serial,1,100000,2000,10,0,80,100,0.98515,393.966,0,517.695,phase6: HNSW baseline; M=16; efConstruction=100; efSearch=80; loaded=yes
20260525_201150,official,hnsw,serial,1,100000,2000,10,0,120,100,0.9922,529.8475,0,523.14,phase6: HNSW baseline; M=16; efConstruction=100; efSearch=120; loaded=yes
20260525_201206,official,hnsw_batch_omp,openmp_query_batch,1,100000,2000,10,0,80,100,0.98515,401.664,0,509.18,phase6: HNSW query-level batch parallel; wall_time_per_query; M=16; efConstruction=100; efSearch=80; loaded=yes
20260525_201223,official,hnsw_batch_omp,openmp_query_batch,2,100000,2000,10,0,80,100,0.98515,185.5315,0,519.93,phase6: HNSW query-level batch parallel; wall_time_per_query; M=16; efConstruction=100; efSearch=80; loaded=yes
20260525_201240,official,hnsw_batch_omp,openmp_query_batch,4,100000,2000,10,0,80,100,0.98515,95.184,0,522.464,phase6: HNSW query-level batch parallel; wall_time_per_query; M=16; efConstruction=100; efSearch=80; loaded=yes
20260525_201257,official,hnsw_batch_omp,openmp_query_batch,8,100000,2000,10,0,80,100,0.98515,50.1665,0,518.791,phase6: HNSW query-level batch parallel; wall_time_per_query; M=16; efConstruction=100; efSearch=80; loaded=yes
20260525_201314,official,hnsw_batch_pthread,pthread_query_batch,1,100000,2000,10,0,80,100,0.98515,393.6825,0,517.6,phase6: HNSW query-level batch parallel; wall_time_per_query; M=16; efConstruction=100; efSearch=80; loaded=yes
20260525_201331,official,hnsw_batch_pthread,pthread_query_batch,2,100000,2000,10,0,80,100,0.98515,187.842,0,523.801,phase6: HNSW query-level batch parallel; wall_time_per_query; M=16; efConstruction=100; efSearch=80; loaded=yes
20260525_201348,official,hnsw_batch_pthread,pthread_query_batch,4,100000,2000,10,0,80,100,0.98515,103.655,0,519.954,phase6: HNSW query-level batch parallel; wall_time_per_query; M=16; efConstruction=100; efSearch=80; loaded=yes
20260525_201406,official,hnsw_batch_pthread,pthread_query_batch,8,100000,2000,10,0,80,100,0.98515,82.138,0,521.075,phase6: HNSW query-level batch parallel; wall_time_per_query; M=16; efConstruction=100; efSearch=80; loaded=yes
20260526_204234,official,ivfpq_batch_omp,openmp_query_batch,8,100000,2000,10,128,32,1500,0.9609,534.0345,0,1451.197,phase5: IVF-PQ query-level batch parallel; wall_time_per_query
